,sensor_id,value,time_scal
0,5895,0.0,0.0702025462962963
1,5889,0.0,0.0702037037037037
2,5896,0.0,0.0702037037037037
3,6253,0.0,0.0702037037037037
4,5887,0.0,0.0702037037037037
5,5893,0.0,0.0702037037037037
6,5895,1.0,0.07021643518518518
7,5893,1.0,0.07068287037037037
8,5893,0.0,0.07069907407407408
9,5893,1.0,0.07075
10,5893,0.0,0.07076041666666667
11,5893,1.0,0.07083796296296296
12,6253,1.0,0.07097916666666666
13,6253,0.0,0.07099884259259259
14,6253,1.0,0.0713275462962963
15,6253,0.0,0.07132986111111111
16,5893,0.0,0.07135069444444445
17,5893,1.0,0.07140277777777777
18,6253,1.0,0.07149421296296296
19,6253,0.0,0.07149768518518519
20,5893,0.0,0.07154166666666667
21,5895,0.0,0.07157291666666667
22,5893,1.0,0.07158333333333333
23,5893,0.0,0.07160300925925926
24,5895,1.0,0.07166319444444444
25,5893,1.0,0.07238425925925926
26,5893,0.0,0.07244907407407407
27,5895,0.0,0.07250694444444444
28,5895,1.0,0.07257291666666667
29,5895,0.0,0.07265625
30,5895,1.0,0.07271527777777778
31,5895,0.0,0.07280208333333334
32,5895,1.0,0.07286689814814815
33,5895,0.0,0.07296527777777778
34,5895,1.0,0.07303935185185186
35,5895,0.0,0.07307638888888889
36,5895,1.0,0.0731400462962963
37,5895,0.0,0.07318171296296297
38,5895,1.0,0.07328125
39,5895,0.0,0.0733425925925926
40,5895,1.0,0.07348148148148148
41,5895,0.0,0.0734849537037037
42,5895,1.0,0.07363773148148148
43,5895,0.0,0.07382523148148148
44,5895,1.0,0.07388773148148148
45,5895,0.0,0.07395023148148148
46,5895,1.0,0.0740775462962963
47,5895,0.0,0.07407986111111112
48,5895,1.0,0.07417476851851852
49,5895,0.0,0.0742337962962963
50,5895,1.0,0.07432986111111112
51,5895,0.0,0.07435763888888888
52,5887,1.0,0.07437037037037036
53,5887,0.0,0.07437268518518518
54,5887,1.0,0.0743738425925926
55,5887,0.0,0.074375
56,5895,1.0,0.07441898148148147
57,5895,0.0,0.07442129629629629
58,5887,1.0,0.07443171296296296
59,5887,0.0,0.07443287037037037
60,5887,1.0,0.07448263888888888
61,5887,0.0,0.0744837962962963
62,5887,1.0,0.0744988425925926
63,5887,0.0,0.07450115740740741
64,5887,1.0,0.07451967592592593
65,5887,0.0,0.07452314814814814
66,5887,1.0,0.07452546296296296
67,5887,0.0,0.07452777777777778
68,5887,1.0,0.07454861111111111
69,5887,0.0,0.07455208333333334
70,5887,1.0,0.07455324074074074
71,5887,0.0,0.07455439814814815
