,Unnamed: 0,sensor_id,value,time,old_sen,event
0,0,5889,1,49,3,21
1,1,5889,0,252,3,20
2,2,5889,1,301,3,21
3,13,5889,0,530,3,20
4,14,5893,1,558,15,23
5,15,5893,0,560,15,22
6,16,5893,1,592,15,23
7,17,5893,0,594,15,22
8,18,5896,1,616,19,5
9,19,5896,0,797,19,4
10,20,5893,1,811,15,23
11,25,5893,0,831,15,22
12,26,5889,1,884,3,21
13,61,5889,0,1854,3,20
14,62,5889,1,1885,3,21
15,63,5889,0,1895,3,20
16,64,5889,1,1924,3,21
17,65,5889,0,2040,3,20
18,66,5889,1,2096,3,21
19,67,5889,0,2098,3,20
20,68,5889,1,2164,3,21
21,69,5889,0,2180,3,20
22,70,5889,1,2273,3,21
23,71,5889,0,2372,3,20
24,72,5889,1,2461,3,21
25,75,5895,1,2637,12,1
26,76,7125,1,2639,17,3
27,81,7125,0,2957,16,2
28,82,7125,1,2972,16,3
29,83,7125,0,2973,16,2
30,84,5895,0,2980,12,0
31,85,5889,0,3215,3,20
32,86,5889,1,3255,3,21
33,87,5889,0,3288,3,20
34,88,5893,1,3356,15,23
35,95,5893,0,3370,15,22
36,96,7125,1,3406,16,3
37,97,7125,0,3409,16,2
38,98,7125,1,3507,16,3
39,99,7125,0,3516,16,2
40,100,5895,1,3616,12,1
41,101,7125,1,3620,17,3
42,106,7125,0,3667,16,2
43,107,7125,1,3674,16,3
44,108,7125,0,3675,16,2
45,109,5895,0,3682,12,0
46,110,7125,1,4555,16,3
47,111,7125,0,4557,16,2
48,112,5893,1,4579,15,23
49,113,5893,0,4580,15,22
50,114,5896,1,4583,19,5
51,115,5893,1,4595,15,23
52,116,5893,0,4598,15,22
53,117,5889,1,5532,3,21
54,120,5893,1,5843,15,23
55,123,5893,0,5849,15,22
56,124,5893,1,5904,15,23
57,127,5893,0,5915,15,22
58,128,5896,0,22989,19,4
59,129,7125,1,22997,16,3
60,130,7125,0,22999,16,2
61,131,7125,1,23008,16,3
62,132,7125,0,23012,16,2
63,133,5893,1,23019,15,23
64,134,5893,0,23020,15,22
65,135,7125,1,23105,16,3
66,136,7125,0,23108,16,2
67,137,5893,1,23118,15,23
68,140,5893,0,23130,15,22
69,141,7125,1,23331,16,3
70,142,7125,0,23333,16,2
71,143,7125,1,23368,16,3
72,146,7125,0,23372,16,2
73,147,7125,1,23396,16,3
74,148,7125,0,23399,16,2
75,149,7125,1,23436,16,3
76,150,7125,0,23438,16,2
77,151,7125,1,23491,16,3
78,152,7125,0,23496,16,2
79,153,7125,1,23501,16,3
80,154,7125,0,23503,16,2
81,155,7125,1,23622,16,3
82,156,7125,0,23626,16,2
83,157,7125,1,23632,16,3
84,158,7125,0,23634,16,2
85,159,7125,1,23660,16,3
86,160,7125,0,23661,16,2
87,161,5895,1,23677,12,1
88,162,7125,1,23678,17,3
89,165,7125,0,23733,16,2
90,166,7125,1,23743,16,3
91,167,7125,0,23744,16,2
92,168,5895,0,23749,12,0
93,169,5896,1,23861,19,5
94,170,5896,0,23881,19,4
95,171,5888,1,23929,11,19
96,172,5888,0,23938,11,18
97,173,5889,0,32715,3,20
98,174,7125,1,33003,16,3
99,175,7125,0,33006,16,2
100,176,7125,1,33049,16,3
101,177,7125,0,33051,16,2
102,178,5893,1,33059,15,23
103,181,5893,0,33064,15,22
104,182,5893,1,33078,15,23
105,183,5893,0,33083,15,22
106,184,5889,1,33152,4,21
107,185,5889,0,33188,4,20
108,186,5889,1,33212,4,21
109,189,5889,0,34383,4,20
110,190,5889,1,34422,3,21
111,191,5889,0,34423,3,20
112,192,5889,1,34431,3,21
113,193,5889,0,34513,3,20
114,194,6253,1,34575,7,7
115,195,5893,1,34597,15,23
116,196,5893,0,34601,15,22
117,197,6253,0,34631,7,6
118,198,5893,1,34640,15,23
119,203,5893,0,34657,15,22
120,204,5893,1,34668,15,23
121,205,5893,0,34671,15,22
122,206,5893,1,34727,15,23
123,211,5893,0,34736,15,22
124,212,5893,1,34826,15,23
125,215,5893,0,34882,15,22
126,216,5893,1,34898,15,23
127,217,5893,0,34902,15,22
128,218,5893,1,34927,15,23
129,219,5893,0,34933,15,22
130,220,5893,1,34961,15,23
131,221,5893,0,34965,15,22
132,222,5893,1,34978,15,23
133,223,5893,0,34989,15,22
134,224,5893,1,35025,15,23
135,225,5893,0,35032,15,22
136,226,5893,1,35267,15,23
137,227,5893,0,35269,15,22
138,228,5893,1,35521,15,23
139,229,5893,0,35526,15,22
140,230,5893,1,35542,15,23
141,231,5893,0,35543,15,22
142,232,5893,1,36318,15,23
143,235,5893,0,36328,15,22
144,236,5893,1,36339,15,23
145,237,5893,0,36340,15,22
146,238,5893,1,36385,15,23
147,239,5893,0,36387,15,22
148,240,5893,1,36411,15,23
149,241,5893,0,36414,15,22
150,242,5893,1,37053,15,23
151,243,5893,0,37057,15,22
152,244,5893,1,37082,15,23
153,246,6253,1,37086,7,7
154,249,6253,0,37100,7,6
155,263,5893,0,37145,15,22
156,264,5895,1,37215,12,1
157,265,7125,1,37218,17,3
158,268,7125,0,37274,16,2
159,269,7125,1,37284,16,3
160,270,7125,0,37285,16,2
161,271,5895,0,37294,12,0
162,272,5893,1,39743,15,23
163,277,5893,0,39757,15,22
164,278,7125,1,39803,16,3
165,279,7125,0,39805,16,2
166,280,7125,1,39943,16,3
167,283,7125,0,39950,16,2
168,284,5893,1,43384,15,23
169,285,5893,0,43388,15,22
170,286,5893,1,43405,15,23
171,287,5893,0,43410,15,22
172,288,5893,1,43437,15,23
173,289,5893,0,43438,15,22
174,290,5893,1,47557,15,23
175,293,5893,0,47562,15,22
176,294,5895,1,48755,12,1
177,295,7125,1,48761,17,3
178,298,7125,0,49378,16,2
179,299,7125,1,49396,16,3
180,300,7125,0,49397,16,2
181,301,5895,0,49399,12,0
182,302,5889,1,49656,3,21
183,303,5889,0,49698,3,20
184,304,5893,1,49760,15,23
185,305,5893,0,49763,15,22
186,306,5893,1,49775,15,23
187,307,5893,0,49779,15,22
188,308,5888,1,49987,11,19
189,309,5888,0,50036,11,18
190,310,5888,1,64124,11,19
191,311,5888,0,64131,11,18
192,312,5895,1,64297,12,1
193,313,7125,1,64318,13,3
194,314,7125,0,64324,13,2
195,315,7125,1,65061,13,3
196,316,5893,1,65090,15,23
197,317,5893,0,65091,15,22
198,318,7125,0,65161,13,2
199,319,5895,0,65201,12,0
200,320,5889,1,65331,3,21
201,323,5889,0,65356,3,20
202,324,5889,1,65384,3,21
203,331,5889,0,66733,3,20
204,332,5889,1,66754,3,21
205,333,5889,0,68058,3,20
206,334,5889,1,68074,3,21
207,335,5889,0,68175,3,20
208,336,5896,1,68212,19,5
209,337,5896,0,68232,19,4
210,338,5893,1,68325,15,23
211,345,5893,0,68364,15,22
212,346,5893,1,68410,15,23
213,347,5893,0,68421,15,22
214,348,5893,1,68436,15,23
215,349,5893,0,68442,15,22
216,350,5889,1,68449,3,21
217,355,5889,0,68467,3,20
218,356,5893,1,68473,15,23
219,359,5893,0,68476,15,22
220,360,5889,1,68497,3,21
221,393,5889,0,68785,3,20
222,394,5889,1,68793,3,21
223,425,5889,0,69050,3,20
224,426,5889,1,69058,3,21
225,431,5889,0,69138,3,20
226,432,5893,1,69156,15,23
227,439,5893,0,69189,15,22
228,440,5893,1,69238,15,23
229,441,5893,0,69240,15,22
230,442,5893,1,69258,15,23
231,443,5893,0,69260,15,22
232,444,5893,1,69273,15,23
233,445,5893,0,69275,15,22
234,446,5889,1,69291,3,21
235,517,5889,0,72707,3,20
236,518,5889,1,73079,3,21
237,519,5889,0,73088,3,20
238,520,5889,1,73112,3,21
239,521,5888,1,73161,11,19
